DZCode,DataZoneArea,ClosestED,RouteLength_km,Population
N20001004,Ormiston_L5,Ulster Hospital,2.46,460
N20001005,Ormiston_R2,Ulster Hospital,3.71,537
N20001006,Ormiston_P4,Ulster Hospital,4.42,653
N20001007,Ormiston_S1,Ulster Hospital,4.79,769
N20001008,Ormiston_P5,Ulster Hospital,4.10,561
N20001009,Ormiston_Q3,Ulster Hospital,4.44,430
N20001010,Ormiston_R3,Ulster Hospital,4.26,439
N20001011,Ormiston_S2,Ulster Hospital,4.28,567
N20001012,Ormiston_T1,Ulster Hospital,4.46,290
N20001013,Ormiston_S3,Ulster Hospital,4.43,548
N20001014,Ormiston_T2,Ulster Hospital,4.54,502
N20001015,Ormiston_T3,Ulster Hospital,5.86,615
N20001016,Ormiston_T4,Ulster Hospital,6.02,656
N20001017,Lisnasharragh_B1,Ulster Hospital,5.04,320
N20001018,Lisnasharragh_A1,Mater Hospital,4.17,250
N20001019,Lisnasharragh_A2,Mater Hospital,4.26,509
N20001020,Lisnasharragh_B2,Mater Hospital,5.21,634
N20001021,Lisnasharragh_D1,Mater Hospital,4.30,455
N20001022,Lisnasharragh_B3,Mater Hospital,4.98,456
N20001023,Lisnasharragh_A3,Mater Hospital,4.56,448
N20001024,Lisnasharragh_C1,Mater Hospital,4.02,579
N20001025,Lisnasharragh_B4,Mater Hospital,4.80,264
N20001026,Lisnasharragh_D2,Mater Hospital,4.33,411
N20001027,Lisnasharragh_C2,Mater Hospital,4.05,364
N20001028,Lisnasharragh_A4,Mater Hospital,4.54,537
N20001029,Lisnasharragh_D3,Mater Hospital,4.46,337
N20001030,Lisnasharragh_C3,Mater Hospital,4.48,348
N20001031,Lisnasharragh_B5,Mater Hospital,5.01,326
N20001032,Lisnasharragh_D4,Mater Hospital,4.59,318
N20001033,Lisnasharragh_E1,Mater Hospital,4.97,544
N20001034,Lisnasharragh_B6,Ulster Hospital,5.43,560
N20001035,Lisnasharragh_F1,Mater Hospital,4.41,567
N20001036,Lisnasharragh_F2,Mater Hospital,4.85,404
N20001037,Lisnasharragh_F3,Mater Hospital,5.37,466
N20001038,Lisnasharragh_E2,Mater Hospital,5.16,546
N20001039,Lisnasharragh_G1,Ulster Hospital,4.87,561
N20001040,Lisnasharragh_N1,Ulster Hospital,5.46,616
N20001041,Lisnasharragh_H1,Mater Hospital,5.31,562
N20001042,Lisnasharragh_F4,Mater Hospital,4.84,477
N20001043,Lisnasharragh_J1,Ulster Hospital,5.82,265
N20001044,Lisnasharragh_H2,Mater Hospital,5.36,411
N20001045,Lisnasharragh_G2,Ulster Hospital,5.46,386
N20001046,Lisnasharragh_E3,Mater Hospital,5.42,781
N20001047,Lisnasharragh_G3,Ulster Hospital,5.63,554
N20001048,Lisnasharragh_J2,Ulster Hospital,5.97,304
N20001049,Lisnasharragh_N2,Ulster Hospital,5.62,359
N20001050,Lisnasharragh_N3,Ulster Hospital,5.39,584
N20001051,Lisnasharragh_J3,Ulster Hospital,5.89,439
N20001052,Lisnasharragh_N4,Ulster Hospital,5.69,429
N20001053,Lisnasharragh_L1,Royal Victoria Hospital,5.62,749
N20001054,Lisnasharragh_J4,Mater Hospital,5.69,483
N20001055,Lisnasharragh_H3,Mater Hospital,5.63,305
N20001056,Lisnasharragh_P1,Mater Hospital,5.74,613
N20001057,Lisnasharragh_K1,Royal Victoria Hospital,4.89,333
N20001058,Lisnasharragh_L2,Royal Victoria Hospital,5.69,554
N20001059,Lisnasharragh_K2,Royal Victoria Hospital,4.16,450
N20001060,Lisnasharragh_J5,Ulster Hospital,6.24,438
N20001061,Lisnasharragh_K3,Royal Victoria Hospital,4.54,577
N20001062,Lisnasharragh_K4,Royal Victoria Hospital,4.39,288
N20001063,Lisnasharragh_P2,Royal Victoria Hospital,5.33,633
N20001064,Lisnasharragh_K5,Royal Victoria Hospital,4.23,329
N20001065,Lisnasharragh_L3,Mater Hospital,5.81,546
N20001066,Lisnasharragh_Q1,Royal Victoria Hospital,4.48,624
N20001067,Lisnasharragh_N5,Ulster Hospital,6.34,363
N20001068,Lisnasharragh_P3,Mater Hospital,6.03,464
N20001069,Lisnasharragh_P4,Royal Victoria Hospital,5.30,465
N20001070,Lisnasharragh_Q2,Royal Victoria Hospital,4.88,668
N20001071,Lisnasharragh_R1,Royal Victoria Hospital,5.30,394
N20001072,Lisnasharragh_Q3,Royal Victoria Hospital,4.97,529
N20001073,Lisnasharragh_R2,Royal Victoria Hospital,5.09,548
N20001074,Lisnasharragh_N6,Ulster Hospital,6.33,445
N20001075,Lisnasharragh_P5,Mater Hospital,6.58,467
N20001076,Lisnasharragh_R3,Royal Victoria Hospital,6.37,611
N20001077,Lisnasharragh_R4,Ulster Hospital,8.21,632
N20001078,Lisnasharragh_R5,Royal Victoria Hospital,6.52,287
N20001079,Botanic_A1,Mater Hospital,1.50,353
N20001080,Botanic_A2,Royal Victoria Hospital,1.70,"1,466"
N20001081,Botanic_B1,Mater Hospital,2.41,374
N20001082,Botanic_B2,Mater Hospital,2.32,404
N20001083,Botanic_B3,Mater Hospital,2.23,449
N20001084,Botanic_A3,Royal Victoria Hospital,1.36,774
N20001085,Botanic_A4,Royal Victoria Hospital,2.13,555
N20001086,Botanic_B4,Mater Hospital,2.29,399
N20001087,Botanic_C1,Royal Victoria Hospital,1.95,901
N20001088,Botanic_C2,Royal Victoria Hospital,1.86,471
N20001089,Botanic_A5,Royal Victoria Hospital,1.70,226
N20001090,Botanic_C3,Royal Victoria Hospital,2.03,627
N20001091,Botanic_D1,Royal Victoria Hospital,2.59,381
N20001092,Botanic_E1,Royal Victoria Hospital,1.58,475
N20001093,Botanic_F1,Royal Victoria Hospital,2.08,401
N20001094,Botanic_D2,Royal Victoria Hospital,2.59,378
N20001095,Botanic_F2,Royal Victoria Hospital,2.44,541
N20001096,Botanic_E2,Royal Victoria Hospital,2.05,453
N20001097,Botanic_C4,Royal Victoria Hospital,2.32,315
N20001098,Botanic_E3,Royal Victoria Hospital,2.91,372
N20001099,Botanic_H1,Royal Victoria Hospital,2.02,332
N20001100,Botanic_F3,Royal Victoria Hospital,2.51,398
N20001101,Botanic_D3,Royal Victoria Hospital,2.75,502
N20001102,Botanic_F4,Royal Victoria Hospital,2.62,300
N20001103,Botanic_H2,Royal Victoria Hospital,2.16,504
N20001104,Botanic_G1,Royal Victoria Hospital,3.15,481
N20001105,Botanic_H3,Royal Victoria Hospital,2.81,332
N20001106,Botanic_E4,Royal Victoria Hospital,2.95,507
N20001107,Botanic_H4,Royal Victoria Hospital,2.33,424
N20001108,Botanic_F5,Royal Victoria Hospital,2.43,218
N20001109,Botanic_D4,Royal Victoria Hospital,2.95,554
N20001110,Botanic_H5,Royal Victoria Hospital,2.27,285
N20001111,Botanic_G2,Royal Victoria Hospital,3.36,382
N20001112,Botanic_H6,Royal Victoria Hospital,2.37,513
N20001113,Botanic_J1,Royal Victoria Hospital,2.95,478
N20001114,Botanic_J2,Royal Victoria Hospital,3.03,427
N20001115,Botanic_K1,Royal Victoria Hospital,2.69,621
N20001116,Botanic_G3,Royal Victoria Hospital,3.12,338
N20001117,Botanic_G4,Royal Victoria Hospital,2.03,321
N20001118,Botanic_N1,Royal Victoria Hospital,3.11,484
N20001119,Botanic_J3,Royal Victoria Hospital,2.46,411
N20001120,Botanic_J4,Royal Victoria Hospital,3.05,593
N20001121,Botanic_P1,Mater Hospital,4.09,631
N20001122,Botanic_L1,Royal Victoria Hospital,2.69,252
N20001123,Botanic_H7,Royal Victoria Hospital,2.55,443
N20001124,Botanic_L2,Royal Victoria Hospital,2.87,617
N20001125,Botanic_K2,Royal Victoria Hospital,2.97,333
N20001126,Botanic_K3,Royal Victoria Hospital,3.08,653
N20001127,Botanic_N2,Royal Victoria Hospital,3.24,532
N20001128,Botanic_U1,Royal Victoria Hospital,2.16,254
N20001129,Botanic_K4,Royal Victoria Hospital,3.36,423
N20001130,Botanic_N3,Royal Victoria Hospital,3.20,538
N20001131,Botanic_N4,Royal Victoria Hospital,3.27,598
N20001132,Botanic_L3,Royal Victoria Hospital,2.69,507
N20001133,Botanic_L4,Royal Victoria Hospital,3.04,782
N20001134,Botanic_N5,Royal Victoria Hospital,3.29,580
N20001135,Botanic_R1,Royal Victoria Hospital,2.85,616
N20001136,Botanic_Q1,Royal Victoria Hospital,2.73,487
N20001137,Botanic_R2,Royal Victoria Hospital,2.96,475
N20001138,Botanic_T1,Royal Victoria Hospital,3.50,465
N20001139,Botanic_R3,Royal Victoria Hospital,3.10,645
N20001140,Botanic_S1,Royal Victoria Hospital,3.28,556
N20001141,Botanic_T2,Royal Victoria Hospital,3.62,314
N20001142,Botanic_Q2,Royal Victoria Hospital,2.84,621
N20001143,Botanic_R4,Royal Victoria Hospital,3.14,547
N20001144,Botanic_S2,Royal Victoria Hospital,3.45,524
N20001145,Botanic_P2,Royal Victoria Hospital,3.79,221
N20001146,Botanic_T3,Royal Victoria Hospital,3.73,273
N20001147,Botanic_T4,Royal Victoria Hospital,3.69,416
N20001148,Botanic_R5,Royal Victoria Hospital,3.47,427
N20001149,Botanic_U2,Royal Victoria Hospital,3.00,642
N20001150,Botanic_W1,Royal Victoria Hospital,3.80,392
N20001151,Botanic_Q3,Royal Victoria Hospital,3.08,543
N20001152,Botanic_S3,Royal Victoria Hospital,3.61,344
N20001153,Botanic_Q4,Royal Victoria Hospital,3.26,638
N20001154,Botanic_W2,Royal Victoria Hospital,3.88,306
N20001155,Botanic_W3,Royal Victoria Hospital,3.97,436
N20001156,Botanic_S4,Royal Victoria Hospital,3.49,677
N20001157,Botanic_Q5,Royal Victoria Hospital,3.26,408
N20001158,Botanic_P3,Royal Victoria Hospital,4.11,434
N20001159,Botanic_W4,Royal Victoria Hospital,4.09,437
N20001160,Botanic_W5,Royal Victoria Hospital,3.96,321
N20001161,Botanic_U3,Royal Victoria Hospital,3.86,411
N20001162,Botanic_X1,Royal Victoria Hospital,3.53,"2,149"
N20001163,Botanic_T5,Royal Victoria Hospital,3.91,328
N20001164,Botanic_W6,Royal Victoria Hospital,4.11,524
N20001165,Botanic_P4,Royal Victoria Hospital,4.29,478
N20001166,Botanic_P5,Royal Victoria Hospital,4.98,551
N20001167,Botanic_X2,Royal Victoria Hospital,3.89,670
N20001168,Botanic_Y1,Royal Victoria Hospital,3.29,499
N20001169,Botanic_X3,Royal Victoria Hospital,3.95,527
N20001170,Botanic_Y2,Royal Victoria Hospital,3.33,464
N20001171,Botanic_X4,Royal Victoria Hospital,4.24,293
N20001172,Botanic_Y3,Royal Victoria Hospital,4.29,"1,015"
N20001173,Botanic_Y4,Royal Victoria Hospital,4.42,418
N20001174,Botanic_Y5,Royal Victoria Hospital,4.43,571
N20001175,Botanic_Z1,Royal Victoria Hospital,4.98,344
N20001176,Botanic_Z2,Royal Victoria Hospital,4.52,437
N20001177,Botanic_Z3,Royal Victoria Hospital,4.97,484
N20001178,Botanic_Z4,Royal Victoria Hospital,4.89,541
N20001179,Balmoral_A1,Royal Victoria Hospital,4.19,268
N20001180,Balmoral_A2,Royal Victoria Hospital,4.19,288
N20001181,Balmoral_A3,Royal Victoria Hospital,4.42,280
N20001182,Balmoral_A4,Royal Victoria Hospital,4.38,470
N20001183,Balmoral_A5,Royal Victoria Hospital,4.52,453
N20001184,Balmoral_B1,Royal Victoria Hospital,3.62,743
N20001185,Balmoral_A6,Royal Victoria Hospital,4.71,508
N20001186,Balmoral_B2,Royal Victoria Hospital,4.21,535
N20001187,Balmoral_F1,Royal Victoria Hospital,5.21,254
N20001188,Balmoral_F2,Royal Victoria Hospital,5.26,348
N20001189,Balmoral_E1,Royal Victoria Hospital,4.70,435
N20001190,Balmoral_D1,Royal Victoria Hospital,4.59,498
N20001191,Balmoral_C1,Royal Victoria Hospital,4.39,431
N20001192,Balmoral_D2,Royal Victoria Hospital,4.84,520
N20001193,Balmoral_E2,Royal Victoria Hospital,5.12,352
N20001194,Balmoral_C2,Royal Victoria Hospital,4.68,343
N20001195,Balmoral_D3,Royal Victoria Hospital,5.26,682
N20001196,Balmoral_E3,Royal Victoria Hospital,5.50,404
N20001197,Balmoral_D4,Royal Victoria Hospital,4.94,436
N20001198,Balmoral_E4,Royal Victoria Hospital,6.13,496
N20001199,Balmoral_E5,Royal Victoria Hospital,5.41,542
N20001200,Balmoral_F3,Royal Victoria Hospital,6.47,458
N20001201,Balmoral_C3,Royal Victoria Hospital,5.08,471
N20001202,Balmoral_H1,Royal Victoria Hospital,5.28,393
N20001203,Balmoral_G1,Royal Victoria Hospital,5.45,466
N20001204,Balmoral_H2,Royal Victoria Hospital,5.47,479
N20001205,Balmoral_G2,Royal Victoria Hospital,5.40,366
N20001206,Balmoral_G3,Royal Victoria Hospital,5.48,154
N20001207,Balmoral_C4,Royal Victoria Hospital,6.36,324
N20001208,Balmoral_J1,Royal Victoria Hospital,6.76,560
N20001209,Balmoral_H3,Royal Victoria Hospital,5.49,396
N20001210,Balmoral_G4,Royal Victoria Hospital,5.73,493
N20001211,Balmoral_J2,Royal Victoria Hospital,6.86,464
N20000008,Dunsilly_A5,Royal Victoria Hospital,6.14,642
N20001213,Balmoral_G5,Royal Victoria Hospital,5.84,344
N20001214,Balmoral_J3,Royal Victoria Hospital,6.76,428
N20001215,Balmoral_N1,Royal Victoria Hospital,5.71,657
N20001216,Balmoral_J4,Royal Victoria Hospital,6.84,290
N20001217,Balmoral_F4,Royal Victoria Hospital,6.86,563
N20001218,Balmoral_L1,Royal Victoria Hospital,6.48,371
N20001219,Balmoral_J5,Royal Victoria Hospital,6.11,424
N20001220,Balmoral_N2,Royal Victoria Hospital,5.99,534
N20001221,Balmoral_N3,Royal Victoria Hospital,6.14,443
N20001222,Balmoral_K1,Royal Victoria Hospital,7.42,382
N20001223,Balmoral_K2,Royal Victoria Hospital,7.39,623
N20001224,Balmoral_F5,Royal Victoria Hospital,7.51,392
N20001225,Balmoral_K3,Royal Victoria Hospital,7.85,238
N20001226,Balmoral_L2,Royal Victoria Hospital,6.64,424
N20001227,Balmoral_K4,Royal Victoria Hospital,7.79,271
N20001228,Balmoral_P1,Royal Victoria Hospital,7.64,361
N20001229,Balmoral_P2,Royal Victoria Hospital,8.09,418
N20001230,Balmoral_L3,Royal Victoria Hospital,6.78,625
N20001231,Balmoral_L4,Royal Victoria Hospital,6.96,553
N20001232,Balmoral_P3,Royal Victoria Hospital,7.92,608
N20001233,Balmoral_N4,Royal Victoria Hospital,7.38,492
N20001234,Balmoral_P4,Royal Victoria Hospital,8.54,468
N20001235,Collin_A1,Royal Victoria Hospital,4.36,320
N20001236,Collin_A2,Royal Victoria Hospital,4.59,704
N20001237,Collin_D1,Royal Victoria Hospital,4.80,433
N20001238,Collin_A3,Royal Victoria Hospital,4.45,265
N20001239,Collin_B1,Royal Victoria Hospital,7.09,670
N20001240,Collin_C1,Royal Victoria Hospital,4.94,532
N20001241,Collin_E1,Royal Victoria Hospital,7.65,615
N20001242,Collin_C2,Royal Victoria Hospital,5.21,729
N20001243,Collin_E2,Royal Victoria Hospital,7.51,718
N20001244,Collin_D2,Royal Victoria Hospital,4.59,794
N20001245,Collin_A4,Royal Victoria Hospital,4.46,440
N20001246,Collin_F1,Royal Victoria Hospital,5.52,723
N20001247,Collin_D3,Royal Victoria Hospital,5.04,481
N20001248,Collin_E3,Royal Victoria Hospital,7.40,465
N20001249,Collin_C3,Royal Victoria Hospital,5.31,648
N20001250,Collin_F2,Royal Victoria Hospital,5.96,407
N20001251,Collin_D4,Royal Victoria Hospital,5.02,695
N20001252,Collin_E4,Royal Victoria Hospital,6.52,546
N20001253,Collin_J1,Royal Victoria Hospital,4.86,737
N20001254,Collin_F3,Royal Victoria Hospital,5.55,656
N20001255,Collin_B2,Royal Victoria Hospital,7.25,753
N20001256,Collin_G1,Royal Victoria Hospital,6.26,482
N20001257,Collin_G2,Royal Victoria Hospital,6.46,597
N20001258,Collin_H1,Royal Victoria Hospital,6.80,980
N20001259,Collin_K1,Royal Victoria Hospital,6.32,721
N20001260,Collin_J2,Royal Victoria Hospital,5.48,505
N20001261,Collin_B3,Royal Victoria Hospital,7.45,856
N20001262,Collin_G3,Royal Victoria Hospital,6.75,448
N20001263,Collin_G4,Royal Victoria Hospital,6.67,598
N20001264,Collin_H2,Royal Victoria Hospital,7.32,823
N20001265,Collin_H3,Royal Victoria Hospital,6.74,514
N20001266,Collin_G5,Royal Victoria Hospital,6.95,605
N20001267,Collin_L1,Royal Victoria Hospital,8.64,575
N20001268,Collin_B4,Royal Victoria Hospital,8.26,623
N20001269,Collin_K2,Royal Victoria Hospital,6.83,516
N20001270,Collin_K3,Royal Victoria Hospital,7.34,346
N20001271,Collin_H4,Royal Victoria Hospital,7.18,446
N20001272,Collin_N1,Royal Victoria Hospital,7.07,648
N20001273,Collin_L2,Royal Victoria Hospital,9.62,388
N20001274,Collin_P1,Royal Victoria Hospital,7.35,391
N20001275,Collin_J3,Royal Victoria Hospital,6.55,394
N20001276,Collin_K4,Royal Victoria Hospital,7.17,494
N20001277,Collin_N2,Royal Victoria Hospital,7.20,738
N20001278,Collin_L3,Royal Victoria Hospital,8.46,554
N20001279,Collin_L4,Royal Victoria Hospital,9.64,605
N20001280,Collin_J4,Royal Victoria Hospital,6.77,311
N20001281,Collin_R1,Royal Victoria Hospital,7.03,313
N20001282,Collin_Q1,Royal Victoria Hospital,7.32,516
N20001283,Collin_P2,Royal Victoria Hospital,7.61,359
N20001284,Collin_N3,Royal Victoria Hospital,7.37,645
N20001285,Collin_P3,Royal Victoria Hospital,7.60,335
N20001286,Collin_P4,Royal Victoria Hospital,7.45,308
N20001287,Collin_Q2,Royal Victoria Hospital,7.55,409
N20001288,Collin_P5,Royal Victoria Hospital,7.95,517
N20001289,Collin_R2,Royal Victoria Hospital,7.23,398
N20001290,Collin_Q3,Royal Victoria Hospital,7.64,"1,131"
N20001291,Collin_N4,Royal Victoria Hospital,9.09,576
N20001292,Collin_R3,Royal Victoria Hospital,6.91,569
N20001293,Collin_P6,Royal Victoria Hospital,8.29,368
N20001294,Collin_R4,Royal Victoria Hospital,7.26,231
N20001295,Collin_Q4,Royal Victoria Hospital,7.90,340
N20001296,Collin_R5,Royal Victoria Hospital,6.87,401
N20001297,Black_Mountain_A1,Royal Victoria Hospital,2.40,481
N20000010,Dunsilly_B3,Royal Victoria Hospital,3.13,544
N20001299,Black_Mountain_A3,Royal Victoria Hospital,2.55,495
N20001300,Black_Mountain_B1,Royal Victoria Hospital,2.11,634
N20001301,Black_Mountain_A4,Royal Victoria Hospital,2.55,736
N20001302,Black_Mountain_A5,Royal Victoria Hospital,2.84,497
N20001303,Black_Mountain_B2,Royal Victoria Hospital,2.06,488
N20001304,Black_Mountain_B3,Royal Victoria Hospital,0.47,543
N20001305,Black_Mountain_B4,Royal Victoria Hospital,2.10,541
N20001306,Black_Mountain_A6,Royal Victoria Hospital,2.78,291
N20001307,Black_Mountain_C1,Royal Victoria Hospital,0.68,586
N20001308,Black_Mountain_D1,Royal Victoria Hospital,3.20,848
N20001309,Black_Mountain_D2,Royal Victoria Hospital,7.48,896
N20001310,Black_Mountain_E1,Royal Victoria Hospital,2.80,614
N20001311,Black_Mountain_C2,Royal Victoria Hospital,0.42,395
N20001312,Black_Mountain_C3,Royal Victoria Hospital,0.74,414
N20001313,Black_Mountain_E2,Royal Victoria Hospital,2.16,535
N20001314,Black_Mountain_E3,Royal Victoria Hospital,1.07,652
N20001315,Black_Mountain_C4,Royal Victoria Hospital,0.55,468
N20001316,Black_Mountain_E4,Royal Victoria Hospital,0.96,526
N20001317,Black_Mountain_F1,Royal Victoria Hospital,3.39,516
N20001318,Black_Mountain_J1,Royal Victoria Hospital,0.94,475
N20001319,Black_Mountain_J2,Royal Victoria Hospital,1.08,338
N20001320,Black_Mountain_F2,Royal Victoria Hospital,1.86,468
N20001321,Black_Mountain_J3,Royal Victoria Hospital,1.18,591
N20001322,Black_Mountain_J4,Royal Victoria Hospital,1.59,453
N20001323,Black_Mountain_H1,Royal Victoria Hospital,3.64,347
N20001324,Black_Mountain_J5,Royal Victoria Hospital,1.43,516
N20001325,Black_Mountain_F3,Royal Victoria Hospital,3.35,758
N20001326,Black_Mountain_F4,Royal Victoria Hospital,3.15,669
N20001327,Black_Mountain_G1,Royal Victoria Hospital,2.25,434
N20001328,Black_Mountain_H2,Royal Victoria Hospital,3.32,609
N20001329,Black_Mountain_G2,Royal Victoria Hospital,2.35,303
N20001330,Black_Mountain_G3,Royal Victoria Hospital,2.13,410
N20001331,Black_Mountain_G4,Royal Victoria Hospital,2.59,503
N20001332,Black_Mountain_K1,Royal Victoria Hospital,4.76,485
N20001333,Black_Mountain_G5,Royal Victoria Hospital,2.30,448
N20001334,Black_Mountain_G6,Royal Victoria Hospital,2.92,703
N20001335,Black_Mountain_K2,Royal Victoria Hospital,3.37,316
N20001336,Black_Mountain_J6,Royal Victoria Hospital,2.70,251
N20001337,Black_Mountain_H3,Royal Victoria Hospital,2.85,421
N20001338,Black_Mountain_K3,Royal Victoria Hospital,4.09,373
N20001339,Black_Mountain_K4,Royal Victoria Hospital,3.26,683
N20001340,Black_Mountain_H4,Royal Victoria Hospital,3.06,437
N20001341,Black_Mountain_D3,Royal Victoria Hospital,5.61,321
N20001342,Black_Mountain_L1,Royal Victoria Hospital,2.92,579
N20001343,Black_Mountain_N1,Royal Victoria Hospital,3.61,432
N20001344,Black_Mountain_N2,Royal Victoria Hospital,3.86,322
N20001345,Black_Mountain_L2,Royal Victoria Hospital,3.10,483
N20001346,Black_Mountain_P1,Royal Victoria Hospital,4.61,510
N20001347,Black_Mountain_H5,Royal Victoria Hospital,3.00,314
N20001348,Black_Mountain_N3,Royal Victoria Hospital,4.62,461
N20001349,Black_Mountain_N4,Royal Victoria Hospital,4.58,410
N20001350,Black_Mountain_R1,Royal Victoria Hospital,3.05,437
N20001351,Black_Mountain_D4,Royal Victoria Hospital,5.56,631
N20001352,Black_Mountain_L3,Royal Victoria Hospital,4.03,535
N20001353,Black_Mountain_N5,Royal Victoria Hospital,4.59,289
N20001354,Black_Mountain_L4,Royal Victoria Hospital,3.35,430
N20001355,Black_Mountain_N6,Royal Victoria Hospital,4.27,476
N20001356,Black_Mountain_Q1,Royal Victoria Hospital,4.59,667
N20001357,Black_Mountain_L5,Royal Victoria Hospital,3.72,411
N20001358,Black_Mountain_P2,Royal Victoria Hospital,4.67,585
N20001359,Black_Mountain_P3,Royal Victoria Hospital,4.96,556
N20001360,Black_Mountain_P4,Royal Victoria Hospital,5.25,427
N20001361,Black_Mountain_R2,Royal Victoria Hospital,3.59,541
N20001362,Black_Mountain_Q2,Royal Victoria Hospital,4.45,499
N20001363,Black_Mountain_Q3,Royal Victoria Hospital,4.65,625
N20001364,Black_Mountain_R3,Royal Victoria Hospital,3.61,593
N20001365,Black_Mountain_P5,Royal Victoria Hospital,4.88,484
N20001366,Black_Mountain_R4,Royal Victoria Hospital,4.24,411
N20001367,Black_Mountain_R5,Royal Victoria Hospital,4.29,401
N20001368,Black_Mountain_R6,Royal Victoria Hospital,4.19,252
N20001369,Court_C1,Mater Hospital,3.51,475
N20001370,Court_A1,Mater Hospital,2.85,524
N20001371,Court_A2,Mater Hospital,2.59,462
N20001372,Court_C2,Mater Hospital,2.85,336
N20001373,Court_A3,Mater Hospital,2.37,588
N20001374,Court_B1,Mater Hospital,1.84,477
N20001375,Court_B2,Mater Hospital,1.88,583
N20001376,Court_C3,Mater Hospital,1.96,209
N20001377,Court_B3,Mater Hospital,1.90,386
N20001378,Court_C4,Mater Hospital,3.59,557
N20001379,Court_J1,Mater Hospital,2.08,490
N20001380,Court_E1,Royal Victoria Hospital,2.88,647
N20001381,Court_D1,Mater Hospital,1.20,743
N20001382,Court_B4,Mater Hospital,2.09,424
N20001383,Court_D2,Mater Hospital,0.71,587
N20001384,Court_F1,Mater Hospital,2.21,596
N20001385,Court_D3,Mater Hospital,1.00,366
N20001386,Court_E2,Royal Victoria Hospital,2.88,394
N20001387,Court_G1,Mater Hospital,0.50,420
N20000011,Dunsilly_D1,Royal Victoria Hospital,4.11,525
N20001389,Court_G2,Mater Hospital,0.13,562
N20001390,Court_H1,Mater Hospital,0.67,603
N20001391,Court_E4,Royal Victoria Hospital,2.67,446
N20001392,Court_E5,Royal Victoria Hospital,2.70,408
N20001393,Court_H2,Mater Hospital,1.48,210
N20001394,Court_F2,Mater Hospital,2.00,344
N20001395,Court_G3,Mater Hospital,0.72,293
N20001396,Court_K1,Mater Hospital,0.60,431
N20001397,Court_H3,Mater Hospital,1.66,457
N20001398,Court_K2,Mater Hospital,0.83,363
N20001399,Court_H4,Mater Hospital,1.30,561
N20001400,Court_F3,Mater Hospital,1.84,256
N20001401,Court_J2,Royal Victoria Hospital,2.66,685
N20000012,Dunsilly_D2,Royal Victoria Hospital,3.70,503
N20001403,Court_L2,Royal Victoria Hospital,2.39,280
N20001404,Court_J3,Royal Victoria Hospital,1.04,407
N20001405,Court_L3,Royal Victoria Hospital,2.43,523
N20001406,Court_K3,Mater Hospital,1.17,326
N20001407,Court_N1,Mater Hospital,1.69,347
N20001408,Court_P1,Mater Hospital,1.59,332
N20001409,Court_K4,Mater Hospital,1.09,228
N20001410,Court_S1,Mater Hospital,1.29,299
N20001411,Court_P2,Mater Hospital,1.50,444
N20001412,Court_K5,Mater Hospital,1.17,273
N20001413,Court_N2,Royal Victoria Hospital,1.03,569
N20001414,Court_Q1,Mater Hospital,1.07,339
N20001415,Court_P3,Mater Hospital,1.37,329
N20000013,Dunsilly_F1,Royal Victoria Hospital,3.11,407
N20001417,Court_R2,Royal Victoria Hospital,2.17,388
N20001418,Court_Q2,Mater Hospital,1.21,413
N20001419,Court_N3,Royal Victoria Hospital,0.75,426
N20001420,Court_N4,Royal Victoria Hospital,0.86,338
N20001421,Court_S2,Royal Victoria Hospital,0.94,450
N20001422,Court_J4,Royal Victoria Hospital,1.58,355
N20001423,Court_Q3,Royal Victoria Hospital,1.06,242
N20001424,Court_R3,Royal Victoria Hospital,1.92,635
N20001425,Court_U1,Royal Victoria Hospital,0.47,289
N20001426,Court_P4,Royal Victoria Hospital,0.41,398
N20001427,Court_U2,Royal Victoria Hospital,0.61,624
N20001428,Court_T1,Royal Victoria Hospital,1.54,574
N20001429,Court_W1,Royal Victoria Hospital,0.93,565
N20001430,Court_Q4,Royal Victoria Hospital,1.55,294
N20001431,Court_S3,Royal Victoria Hospital,0.73,318
N20001432,Court_S4,Royal Victoria Hospital,0.52,308
N20001433,Court_W2,Royal Victoria Hospital,1.10,423
N20001434,Court_U3,Royal Victoria Hospital,0.38,354
N20001435,Court_X1,Royal Victoria Hospital,0.43,347
N20001436,Court_T2,Royal Victoria Hospital,2.00,374
N20001437,Court_S5,Royal Victoria Hospital,0.22,419
N20001438,Court_W3,Royal Victoria Hospital,0.68,417
N20001439,Court_X2,Royal Victoria Hospital,0.29,577
N20001440,Court_S6,Royal Victoria Hospital,0.45,397
N20001441,Court_X3,Royal Victoria Hospital,0.34,527
N20001442,Court_T3,Royal Victoria Hospital,0.45,489
N20001443,Court_X4,Royal Victoria Hospital,0.17,366
N20001444,Court_W4,Royal Victoria Hospital,1.17,640
N20001445,Court_X5,Royal Victoria Hospital,1.85,394
N20001446,Benbradagh_B1,Altnagelvin,22.79,501
N20001447,Benbradagh_A1,Altnagelvin,20.26,370
N20001448,Benbradagh_A2,Altnagelvin,19.88,258
N20001449,Benbradagh_A3,Altnagelvin,21.65,467
N20001450,Benbradagh_A4,Altnagelvin,21.16,560
N20001451,Benbradagh_A5,Altnagelvin,22.04,306
N20001452,Benbradagh_A6,Altnagelvin,20.07,572
N20001453,Benbradagh_A7,Altnagelvin,20.73,472
N20001454,Benbradagh_C1,Altnagelvin,14.24,526
