Code,SuperDataZoneArea,ClosestED,RouteLength_km,Population
N21000001,Dunsilly_A,Antrim Area Hospital,10.12,"3,272"
N21000002,Dunsilly_B,Antrim Area Hospital,15.79,"3,132"
N21000003,Dunsilly_C,Antrim Area Hospital,21.11,"2,527"
N21000004,Dunsilly_D,Antrim Area Hospital,11.27,"2,991"
N21000005,Dunsilly_E,Antrim Area Hospital,10.87,"2,160"
N21000006,Dunsilly_F,Antrim Area Hospital,12.97,"3,916"
N21000007,Antrim_A,Antrim Area Hospital,1.94,"1,837"
N21000008,Antrim_B,Antrim Area Hospital,1.05,"1,791"
N21000009,Antrim_C,Antrim Area Hospital,4.38,"2,452"
N21000010,Antrim_D,Antrim Area Hospital,2.28,"2,423"
N21000011,Antrim_E,Antrim Area Hospital,2.89,"1,651"
N21000012,Antrim_F,Antrim Area Hospital,4.35,"2,203"
N21000013,Antrim_G,Antrim Area Hospital,3.97,"2,133"
N21000014,Antrim_H,Antrim Area Hospital,3.52,"1,394"
N21000015,Antrim_J,Antrim Area Hospital,4.22,"2,296"
N21000016,Antrim_K,Antrim Area Hospital,4.24,"2,150"
N21000017,Antrim_L,Antrim Area Hospital,5.23,"2,043"
N21000018,Antrim_N,Antrim Area Hospital,4.98,"1,571"
N21000019,Ballyclare_A,Antrim Area Hospital,20.18,"2,028"
N21000020,Ballyclare_B,Antrim Area Hospital,17.66,"3,014"
N21000021,Ballyclare_C,Antrim Area Hospital,16.67,"2,361"
N21000022,Ballyclare_D,Mater Hospital,17.79,"2,538"
N21000023,Ballyclare_E,Antrim Area Hospital,15.79,"2,936"
N21000024,Ballyclare_F,Mater Hospital,17.04,"3,187"
N21000025,Ballyclare_G,Antrim Area Hospital,13.79,"1,404"
N21000026,Ballyclare_H,Mater Hospital,15.32,"1,600"
N21000027,Three_Mile_Water_A,Mater Hospital,12.15,"2,217"
N21000028,Three_Mile_Water_B,Mater Hospital,11.94,"1,359"
N21000029,Three_Mile_Water_C,Mater Hospital,11.7,"2,052"
N21000030,Three_Mile_Water_D,Mater Hospital,11.17,"1,959"
N21000031,Three_Mile_Water_E,Mater Hospital,11.23,"2,520"
N21000032,Three_Mile_Water_F,Mater Hospital,10.75,"1,898"
N21000033,Three_Mile_Water_G,Mater Hospital,10.44,"2,796"
N21000034,Three_Mile_Water_H,Mater Hospital,11.37,"2,269"
N21000035,Three_Mile_Water_J,Mater Hospital,11.46,"1,461"
N21000036,Three_Mile_Water_K,Mater Hospital,9.96,"2,122"
N21000037,Macedon_A,Mater Hospital,9.33,"1,669"
N21000038,Macedon_B,Mater Hospital,9.08,"2,078"
N21000039,Macedon_C,Mater Hospital,8.88,"2,211"
N21000040,Macedon_D,Mater Hospital,8.76,"1,785"
N21000041,Macedon_E,Mater Hospital,8.65,"1,677"
N21000042,Macedon_F,Mater Hospital,8.15,"1,672"
N21000043,Macedon_G,Mater Hospital,7.68,"1,898"
N21000044,Macedon_H,Mater Hospital,7.24,"1,306"
N21000045,Macedon_J,Mater Hospital,7.93,"2,049"
N21000046,Macedon_K,Mater Hospital,7.36,"1,888"
N21000047,Macedon_L,Mater Hospital,6.77,"2,090"
N21000048,Glengormley_Urban_A,Mater Hospital,9.89,"1,502"
N21000049,Glengormley_Urban_B,Mater Hospital,10.46,"2,081"
N21000050,Glengormley_Urban_C,Mater Hospital,10.17,"2,325"
N21000051,Glengormley_Urban_D,Mater Hospital,10.21,"2,143"
N21000052,Glengormley_Urban_E,Mater Hospital,8.98,"1,683"
N21000053,Glengormley_Urban_F,Mater Hospital,9.05,"1,898"
N21000054,Glengormley_Urban_G,Mater Hospital,8.82,"1,858"
N21000055,Glengormley_Urban_H,Mater Hospital,8.27,"1,307"
N21000056,Glengormley_Urban_J,Mater Hospital,8.66,"2,187"
N21000057,Glengormley_Urban_K,Mater Hospital,7.57,"2,119"
N21000058,Glengormley_Urban_L,Mater Hospital,7.29,"2,539"
N21000059,Airport_A,Antrim Area Hospital,10.77,"1,547"
N21000060,Airport_B,Antrim Area Hospital,7.18,"1,761"
N21000061,Airport_C,Mater Hospital,12.95,"2,443"
N21000062,Airport_D,Mater Hospital,10.64,"2,503"
N21000063,Airport_E,Mater Hospital,9.3,"2,938"
N21000064,Airport_F,Antrim Area Hospital,13.61,"2,962"
N21000065,Airport_G,Antrim Area Hospital,15.12,"2,509"
N21000066,Airport_H,Antrim Area Hospital,17.81,"2,885"
N21000067,Airport_J,Antrim Area Hospital,17.95,"2,481"
N21000068,Armagh_A,Craigavon Area Hospital,21.35,"3,814"
N21000069,Armagh_B,Craigavon Area Hospital,17.84,"1,826"
N21000070,Armagh_C,Craigavon Area Hospital,18.96,"3,019"
N21000071,Armagh_D,Craigavon Area Hospital,20.68,"3,589"
N21000072,Armagh_E,Craigavon Area Hospital,29.88,"2,786"
N21000073,Armagh_F,Craigavon Area Hospital,19.63,"2,306"
N21000074,Armagh_G,Craigavon Area Hospital,20.98,"3,067"
N21000075,Armagh_H,Craigavon Area Hospital,29.92,"2,503"
N21000076,Armagh_J,Craigavon Area Hospital,24.91,"3,327"
N21000077,Armagh_K,Craigavon Area Hospital,35.96,"3,533"
N21000078,Armagh_L,Daisy Hill Hospital,29.89,"2,635"
N21000079,Portadown_A,Craigavon Area Hospital,15.66,"2,965"
N21000080,Portadown_B,Craigavon Area Hospital,10.56,"3,020"
N21000081,Portadown_C,Craigavon Area Hospital,4.37,"1,820"
N21000082,Portadown_D,Craigavon Area Hospital,3.32,"2,448"
N21000083,Portadown_E,Craigavon Area Hospital,3.71,"2,013"
N21000084,Portadown_F,Craigavon Area Hospital,2.2,"1,475"
N21000085,Portadown_G,Craigavon Area Hospital,3.92,"2,043"
N21000086,Portadown_H,Craigavon Area Hospital,2.38,"1,901"
N21000087,Portadown_J,Craigavon Area Hospital,14.48,"2,919"
N21000088,Portadown_K,Craigavon Area Hospital,4.1,"2,360"
N21000089,Portadown_L,Craigavon Area Hospital,3.6,"1,901"
N21000090,Portadown_N,Craigavon Area Hospital,3.67,"1,526"
N21000091,Portadown_P,Craigavon Area Hospital,4.32,"1,409"
N21000092,Portadown_Q,Craigavon Area Hospital,4.79,"2,203"
N21000093,Portadown_R,Craigavon Area Hospital,6.27,"2,921"
N21000094,Craigavon_A,Craigavon Area Hospital,14.18,"3,080"
N21000095,Craigavon_B,Craigavon Area Hospital,7.49,"2,685"
N21000096,Craigavon_C,Craigavon Area Hospital,3.28,"2,027"
N21000097,Craigavon_D,Craigavon Area Hospital,3.31,"1,680"
N21000098,Craigavon_E,Craigavon Area Hospital,4.54,"2,544"
N21000099,Craigavon_F,Craigavon Area Hospital,0.82,"2,672"
N21000100,Craigavon_G,Craigavon Area Hospital,4.66,"2,340"
N21000101,Craigavon_H,Craigavon Area Hospital,4.27,"1,858"
N21000102,Craigavon_J,Craigavon Area Hospital,0.15,"2,664"
N21000103,Craigavon_K,Craigavon Area Hospital,2.75,"1,378"
N21000104,Craigavon_L,Craigavon Area Hospital,6.26,"1,596"
N21000105,Craigavon_N,Craigavon Area Hospital,3.15,"2,721"
N21000106,Craigavon_P,Craigavon Area Hospital,5.6,"1,945"
N21000107,Lurgan_A,Craigavon Area Hospital,13.29,"2,824"
N21000108,Lurgan_B,Craigavon Area Hospital,11.59,"2,447"
N21000109,Lurgan_C,Craigavon Area Hospital,7.76,"2,367"
N21000110,Lurgan_D,Craigavon Area Hospital,7.62,"2,854"
N21000111,Lurgan_E,Craigavon Area Hospital,7.18,"2,858"
N21000112,Lurgan_F,Craigavon Area Hospital,7.07,"2,815"
N21000113,Lurgan_G,Craigavon Area Hospital,6.46,"1,585"
N21000114,Lurgan_H,Craigavon Area Hospital,11.57,"2,041"
N21000115,Lurgan_J,Craigavon Area Hospital,8.92,"2,250"
N21000116,Lurgan_K,Craigavon Area Hospital,6.57,"1,694"
N21000117,Lurgan_L,Craigavon Area Hospital,5.65,"1,404"
N21000118,Lurgan_N,Craigavon Area Hospital,4.77,"2,146"
N21000119,Lurgan_P,Craigavon Area Hospital,7.72,"2,139"
N21000120,Lurgan_Q,Craigavon Area Hospital,6.28,"1,801"
N21000121,Lurgan_R,Craigavon Area Hospital,5.86,"2,524"
N21000122,Lurgan_S,Craigavon Area Hospital,7.78,"2,627"
N21000123,Lurgan_T,Craigavon Area Hospital,5.71,"1,823"
N21000124,Lagan_River_A,Craigavon Area Hospital,10,"1,935"
N21000125,Lagan_River_B,Craigavon Area Hospital,10.65,"1,931"
N21000126,Lagan_River_C,Craigavon Area Hospital,13.21,"1,521"
N21000127,Lagan_River_D,Craigavon Area Hospital,22.5,"1,726"
N21000128,Lagan_River_E,Craigavon Area Hospital,14.74,"1,977"
N21000129,Lagan_River_F,Craigavon Area Hospital,20.61,"2,980"
N21000130,Lagan_River_G,Craigavon Area Hospital,10.19,"2,611"
N21000131,Lagan_River_H,Craigavon Area Hospital,26.85,"1,689"
N21000132,Lagan_River_J,Craigavon Area Hospital,18.13,"1,955"
N21000133,Lagan_River_K,Craigavon Area Hospital,23.16,"2,424"
N21000134,Lagan_River_L,Craigavon Area Hospital,29.44,"1,430"
N21000135,Lagan_River_N,Daisy Hill Hospital,36.62,"2,625"
N21000136,Banbridge_A,Craigavon Area Hospital,9.51,"2,305"
N21000137,Banbridge_B,Craigavon Area Hospital,9.41,"1,957"
N21000138,Banbridge_C,Craigavon Area Hospital,18.14,"1,926"
N21000139,Banbridge_D,Craigavon Area Hospital,16.64,"2,926"
N21000140,Banbridge_E,Craigavon Area Hospital,20.58,"2,524"
N21000141,Banbridge_F,Craigavon Area Hospital,15.79,"2,074"
N21000142,Banbridge_G,Craigavon Area Hospital,18.62,"1,525"
N21000143,Banbridge_H,Craigavon Area Hospital,18.87,"2,959"
N21000144,Banbridge_J,Craigavon Area Hospital,19.54,"2,511"
N21000145,Banbridge_K,Craigavon Area Hospital,20.01,"3,032"
N21000146,Banbridge_L,Daisy Hill Hospital,21.25,"3,400"
N21000147,Banbridge_N,Daisy Hill Hospital,15.87,"2,918"
N21000148,Banbridge_P,Daisy Hill Hospital,22,"2,396"
N21000149,Banbridge_Q,Daisy Hill Hospital,17,"2,490"
N21000150,Cusher_A,Craigavon Area Hospital,9.01,"1,410"
N21000151,Cusher_B,Craigavon Area Hospital,12.83,"2,738"
N21000152,Cusher_C,Craigavon Area Hospital,11.31,"1,832"
N21000153,Cusher_D,Craigavon Area Hospital,13.03,"1,778"
N21000154,Cusher_E,Craigavon Area Hospital,14.61,"2,975"
N21000155,Cusher_F,Craigavon Area Hospital,12.03,"1,713"
N21000156,Cusher_G,Craigavon Area Hospital,15.74,"2,345"
N21000157,Cusher_H,Daisy Hill Hospital,15.23,"2,524"
N21000158,Cusher_J,Daisy Hill Hospital,18.48,"1,906"
N21000159,Cusher_K,Daisy Hill Hospital,19.05,"3,592"
N21000160,Cusher_L,Daisy Hill Hospital,28.47,"3,382"
N21000161,Oldpark_A,Mater Hospital,6.37,"2,707"
N21000162,Oldpark_B,Mater Hospital,3.12,"1,676"
N21000163,Oldpark_C,Mater Hospital,3.15,"1,998"
N21000164,Oldpark_D,Mater Hospital,3.81,"2,127"
N21000165,Oldpark_E,Mater Hospital,2.54,"2,310"
N21000166,Oldpark_F,Mater Hospital,3.19,"1,555"
N21000167,Oldpark_G,Mater Hospital,1.96,"2,192"
N21000168,Oldpark_H,Mater Hospital,1.56,"1,551"
N21000169,Oldpark_J,Mater Hospital,2.01,"1,337"
N21000170,Oldpark_K,Mater Hospital,2.27,"1,830"
N21000171,Oldpark_L,Mater Hospital,0.99,"2,262"
N21000172,Oldpark_N,Mater Hospital,1.21,"2,386"
N21000173,Oldpark_P,Mater Hospital,1.53,"1,275"
N21000174,Oldpark_Q,Mater Hospital,0.93,"2,046"
N21000175,Oldpark_R,Mater Hospital,0.86,"2,293"
N21000176,Oldpark_S,Mater Hospital,0.55,"1,459"
N21000177,Oldpark_T,Mater Hospital,0.9,"1,572"
N21000178,Oldpark_U,Mater Hospital,0.44,"1,775"
N21000179,Castle_A,Mater Hospital,6.12,"1,702"
N21000180,Castle_B,Mater Hospital,5.93,"1,939"
N21000181,Castle_C,Mater Hospital,4.83,"1,751"
N21000182,Castle_D,Mater Hospital,4.14,"1,797"
N21000183,Castle_E,Mater Hospital,4.31,"1,595"
N21000184,Castle_F,Mater Hospital,3.48,"1,388"
N21000185,Castle_G,Mater Hospital,3.85,"2,406"
N21000186,Castle_H,Mater Hospital,3.63,"2,411"
N21000187,Castle_J,Mater Hospital,2.98,"2,442"
N21000188,Castle_K,Mater Hospital,3.11,"1,486"
N21000189,Castle_L,Mater Hospital,2.62,"2,040"
N21000190,Castle_N,Mater Hospital,2.35,"1,140"
N21000191,Castle_P,Mater Hospital,2.69,"1,296"
N21000192,Castle_Q,Mater Hospital,3.63,"2,146"
N21000193,Castle_R,Mater Hospital,2.05,"2,219"
N21000194,Castle_S,Mater Hospital,1.74,"1,580"
N21000195,Castle_T,Mater Hospital,1.93,"1,967"
N21000196,Castle_U,Mater Hospital,1.96,"2,371"
N21000197,Titanic_A,Mater Hospital,5.75,"1,248"
N21000198,Titanic_B,Mater Hospital,2.9,"1,760"
N21000199,Titanic_C,Mater Hospital,4.21,"1,885"
N21000200,Titanic_D,Mater Hospital,4.68,"2,020"
N21000201,Titanic_E,Mater Hospital,3.69,"1,518"
N21000202,Titanic_F,Mater Hospital,3.18,"1,993"
N21000203,Titanic_G,Mater Hospital,4.45,"1,096"
N21000204,Titanic_H,Mater Hospital,2.8,"2,370"
N21000205,Titanic_J,Mater Hospital,3.82,"1,905"
N21000206,Titanic_K,Mater Hospital,4.42,"1,405"
N21000207,Titanic_L,Mater Hospital,3.41,"1,669"
N21000208,Titanic_N,Mater Hospital,3.74,"1,586"
N21000209,Titanic_P,Mater Hospital,3.07,"1,684"
N21000210,Titanic_Q,Mater Hospital,4.51,"1,836"
N21000211,Titanic_R,Ulster Hospital,4.65,"1,991"
N21000212,Titanic_S,Mater Hospital,3.37,"1,472"
N21000213,Titanic_T,Mater Hospital,3.7,"1,860"
N21000214,Titanic_U,Mater Hospital,3.84,"1,179"
N21000215,Titanic_W,Mater Hospital,4,"1,457"
N21000216,Titanic_X,Mater Hospital,5,"1,240"
N21000217,Titanic_Y,Mater Hospital,3.66,"1,629"
N21000218,Titanic_Z,Mater Hospital,4.04,"1,320"
N21000219,Ormiston_A,Ulster Hospital,5.4,"1,898"
N21000220,Ormiston_B,Ulster Hospital,5.3,"2,079"
N21000221,Ormiston_C,Ulster Hospital,5.37,"2,472"
N21000222,Ormiston_D,Mater Hospital,5.34,"2,219"
N21000223,Ormiston_E,Ulster Hospital,4.62,"1,938"
N21000224,Ormiston_F,Ulster Hospital,3.5,"2,482"
N21000225,Ormiston_G,Ulster Hospital,3.22,"2,151"
N21000226,Ormiston_H,Ulster Hospital,3.84,"1,872"
N21000227,Ormiston_J,Ulster Hospital,1.67,"1,960"
N21000228,Ormiston_K,Ulster Hospital,4.54,"1,989"
N21000229,Ormiston_L,Ulster Hospital,2.14,"2,126"
N21000230,Ormiston_N,Ulster Hospital,3.57,"2,362"
N21000231,Ormiston_P,Ulster Hospital,4.15,"2,241"
N21000232,Ormiston_Q,Ulster Hospital,4.14,"1,126"
N21000233,Ormiston_R,Ulster Hospital,3.88,"1,758"
N21000234,Ormiston_S,Ulster Hospital,4.77,"1,884"
N21000235,Ormiston_T,Ulster Hospital,5.97,"2,059"
N21000236,Lisnasharragh_A,Mater Hospital,4.41,"1,744"
N21000237,Lisnasharragh_B,Mater Hospital,5.3,"2,562"
N21000238,Lisnasharragh_C,Mater Hospital,4.08,"1,291"
N21000239,Lisnasharragh_D,Mater Hospital,4.4,"1,522"
N21000240,Lisnasharragh_E,Mater Hospital,5.22,"1,871"
N21000241,Lisnasharragh_F,Mater Hospital,5.44,"1,914"
N21000242,Lisnasharragh_G,Ulster Hospital,5.43,"1,501"
N21000243,Lisnasharragh_H,Mater Hospital,5.36,"1,278"
N21000244,Lisnasharragh_J,Ulster Hospital,6.03,"1,929"
N21000245,Lisnasharragh_K,Royal Victoria Hospital,4.44,"1,978"
N21000246,Lisnasharragh_L,Royal Victoria Hospital,5.63,"1,849"
N21000247,Lisnasharragh_N,Ulster Hospital,5.98,"2,797"
N21000248,Lisnasharragh_P,Mater Hospital,6.41,"2,641"
N21000249,Lisnasharragh_Q,Royal Victoria Hospital,4.86,"1,820"
N21000250,Lisnasharragh_R,Mater Hospital,6.75,"2,472"
N21000251,Botanic_A,Royal Victoria Hospital,1.49,"3,374"
N21000252,Botanic_B,Mater Hospital,2.33,"1,626"
N21000253,Botanic_C,Royal Victoria Hospital,2.03,"2,313"
N21000254,Botanic_D,Royal Victoria Hospital,2.63,"1,815"
N21000255,Botanic_E,Royal Victoria Hospital,2.95,"1,807"
N21000256,Botanic_F,Royal Victoria Hospital,2.4,"1,858"
N21000257,Botanic_G,Royal Victoria Hospital,3.19,"1,522"
N21000258,Botanic_H,Royal Victoria Hospital,2.33,"2,833"
N21000259,Botanic_J,Royal Victoria Hospital,3,"1,909"
N21000260,Botanic_K,Royal Victoria Hospital,3.04,"2,030"
N21000261,Botanic_L,Royal Victoria Hospital,2.82,"2,156"
N21000262,Botanic_N,Royal Victoria Hospital,3.24,"2,732"
N21000263,Botanic_P,Mater Hospital,4.3,"2,315"
N21000264,Botanic_Q,Royal Victoria Hospital,2.98,"2,694"
N21000265,Botanic_R,Royal Victoria Hospital,3.06,"2,710"
N21000266,Botanic_S,Royal Victoria Hospital,3.45,"2,101"
N21000267,Botanic_T,Royal Victoria Hospital,3.67,"1,797"
N21000268,Botanic_U,Royal Victoria Hospital,2.99,"1,307"
N21000269,Botanic_W,Royal Victoria Hospital,4.02,"2,416"
N21000270,Botanic_X,Royal Victoria Hospital,3.91,"3,639"
N21000271,Botanic_Y,Royal Victoria Hospital,3.92,"2,967"
N21000272,Botanic_Z,Royal Victoria Hospital,4.8,"1,806"
N21000273,Balmoral_A,Royal Victoria Hospital,4.44,"2,265"
N21000274,Balmoral_B,Royal Victoria Hospital,4.65,"1,278"
N21000275,Balmoral_C,Royal Victoria Hospital,4.61,"1,569"
N21000276,Balmoral_D,Royal Victoria Hospital,4.86,"2,134"
N21000277,Balmoral_E,Royal Victoria Hospital,5.38,"2,229"
N21000278,Balmoral_F,Royal Victoria Hospital,7.02,"2,014"
N21000279,Balmoral_G,Royal Victoria Hospital,5.56,"1,824"
N21000280,Balmoral_H,Royal Victoria Hospital,5.57,"1,548"
N21000281,Balmoral_J,Royal Victoria Hospital,6.9,"2,168"
N21000282,Balmoral_K,Royal Victoria Hospital,7.55,"1,514"
N21000283,Balmoral_L,Royal Victoria Hospital,6.93,"1,971"
N21000284,Balmoral_N,Royal Victoria Hospital,7.36,"2,125"
N21000285,Balmoral_P,Royal Victoria Hospital,8.4,"1,855"
N21000286,Collin_A,Royal Victoria Hospital,4.45,"1,732"
N21000287,Collin_B,Royal Victoria Hospital,7.39,"2,902"
N21000288,Collin_C,Royal Victoria Hospital,5.19,"1,909"
N21000289,Collin_D,Royal Victoria Hospital,4.97,"2,401"
N21000290,Collin_E,Royal Victoria Hospital,7.47,"2,344"
N21000291,Collin_F,Royal Victoria Hospital,5.57,"1,787"
N21000292,Collin_G,Royal Victoria Hospital,6.57,"2,729"
N21000293,Collin_H,Royal Victoria Hospital,6.92,"2,765"
N21000294,Collin_J,Royal Victoria Hospital,7.57,"1,947"
N21000295,Collin_K,Royal Victoria Hospital,6.61,"2,077"
N21000296,Collin_L,Royal Victoria Hospital,8.52,"2,125"
N21000297,Collin_N,Royal Victoria Hospital,7.43,"2,607"
N21000298,Collin_P,Royal Victoria Hospital,7.71,"2,278"
N21000299,Collin_Q,Royal Victoria Hospital,7.61,"2,394"
N21000300,Collin_R,Royal Victoria Hospital,6.96,"1,912"
N21000301,Black_Mountain_A,Royal Victoria Hospital,2.62,"3,149"
N21000302,Black_Mountain_B,Royal Victoria Hospital,2.06,"2,205"
N21000303,Black_Mountain_C,Royal Victoria Hospital,0.5,"1,863"
N21000304,Black_Mountain_D,Royal Victoria Hospital,7.43,"2,696"
N21000305,Black_Mountain_E,Royal Victoria Hospital,1.07,"2,328"
N21000306,Black_Mountain_F,Royal Victoria Hospital,2.13,"2,411"
N21000307,Black_Mountain_G,Royal Victoria Hospital,2.39,"2,800"
N21000308,Black_Mountain_H,Royal Victoria Hospital,3.03,"2,128"
N21000309,Black_Mountain_J,Royal Victoria Hospital,1.6,"2,626"
N21000310,Black_Mountain_K,Royal Victoria Hospital,3.76,"1,857"
N21000311,Black_Mountain_L,Royal Victoria Hospital,3.63,"2,438"
N21000312,Black_Mountain_N,Royal Victoria Hospital,4.65,"2,389"
N21000313,Black_Mountain_P,Royal Victoria Hospital,4.89,"2,561"
N21000314,Black_Mountain_Q,Royal Victoria Hospital,4.46,"1,788"
N21000315,Black_Mountain_R,Royal Victoria Hospital,3.52,"2,637"
N21000316,Court_A,Mater Hospital,2.54,"1,574"
N21000317,Court_B,Mater Hospital,1.86,"1,870"
N21000318,Court_C,Mater Hospital,3.58,"1,577"
N21000319,Court_D,Mater Hospital,0.98,"1,695"
N21000320,Court_E,Royal Victoria Hospital,2.88,"2,396"
N21000321,Court_F,Mater Hospital,2.02,"1,196"
N21000322,Court_G,Mater Hospital,0.56,"1,275"
N21000323,Court_H,Mater Hospital,1.43,"1,831"
N21000324,Court_J,Royal Victoria Hospital,2.65,"1,937"
N21000325,Court_K,Mater Hospital,1.16,"1,621"
N21000326,Court_L,Royal Victoria Hospital,3.54,"1,368"
N21000327,Court_N,Royal Victoria Hospital,0.9,"1,678"
N21000328,Court_P,Mater Hospital,1.45,"1,503"
N21000329,Court_Q,Mater Hospital,1.16,"1,288"
N21000330,Court_R,Royal Victoria Hospital,2.06,"1,521"
N21000331,Court_S,Royal Victoria Hospital,0.58,"2,189"
N21000332,Court_T,Royal Victoria Hospital,1.96,"1,435"
N21000333,Court_U,Royal Victoria Hospital,0.51,"1,267"
N21000334,Court_W,Royal Victoria Hospital,0.75,"2,045"
N21000335,Court_X,Royal Victoria Hospital,0.15,"2,210"
N21000336,Benbradagh_A,Altnagelvin,20.61,"3,005"
N21000337,Benbradagh_B,Causeway Area Hospital,25.05,"1,852"
N21000338,Benbradagh_C,Altnagelvin,14.9,"1,465"
N21000339,Benbradagh_D,Altnagelvin,23.83,"2,975"
N21000340,Benbradagh_E,Altnagelvin,32.28,"3,308"
N21000341,Benbradagh_F,Altnagelvin,27.75,"3,346"
N21000342,Benbradagh_G,Altnagelvin,31.56,"1,868"
N21000343,Limavady_A,Causeway Area Hospital,24.72,"2,860"
N21000344,Limavady_B,Causeway Area Hospital,22.38,"1,228"
N21000345,Limavady_C,Causeway Area Hospital,21.97,"2,268"
N21000346,Limavady_D,Causeway Area Hospital,21.16,"3,232"
N21000347,Limavady_E,Causeway Area Hospital,22.46,"2,739"
N21000348,Limavady_F,Causeway Area Hospital,18.16,"2,095"
N21000349,Limavady_G,Causeway Area Hospital,22.38,"1,808"
N21000350,Bann_A,Causeway Area Hospital,11.53,"1,155"
N21000351,Bann_B,Causeway Area Hospital,12.03,"2,783"
N21000352,Bann_C,Causeway Area Hospital,8.36,"2,402"
N21000353,Bann_D,Causeway Area Hospital,14.11,"3,529"
N21000354,Bann_E,Causeway Area Hospital,17.56,"1,863"
N21000355,Bann_F,Causeway Area Hospital,17.93,"1,252"
N21000356,Bann_G,Causeway Area Hospital,21.16,"2,857"
N21000357,Bann_H,Causeway Area Hospital,23.69,"1,694"
N21000358,Coleraine_A,Causeway Area Hospital,3.52,"2,830"
N21000359,Coleraine_B,Causeway Area Hospital,3.79,"2,729"
N21000360,Coleraine_C,Causeway Area Hospital,2.41,"2,624"
N21000361,Coleraine_D,Causeway Area Hospital,2.13,"1,288"
N21000362,Coleraine_E,Causeway Area Hospital,2.15,"1,877"
N21000363,Coleraine_F,Causeway Area Hospital,3.15,"2,351"
N21000364,Coleraine_G,Causeway Area Hospital,1.85,"2,188"
N21000365,Coleraine_H,Causeway Area Hospital,0.93,"2,775"
N21000366,Coleraine_J,Causeway Area Hospital,2.07,"2,793"
N21000367,Coleraine_K,Causeway Area Hospital,1.26,"2,171"
N21000368,Causeway_A,Causeway Area Hospital,18.31,"1,427"
N21000369,Causeway_B,Causeway Area Hospital,9.39,"1,286"
N21000370,Causeway_C,Causeway Area Hospital,13.8,"1,247"
N21000371,Causeway_D,Causeway Area Hospital,9.11,"1,783"
N21000372,Causeway_E,Causeway Area Hospital,8.67,"3,081"
N21000373,Causeway_F,Causeway Area Hospital,8.65,"2,068"
N21000374,Causeway_G,Causeway Area Hospital,8.5,"2,653"
N21000375,Causeway_H,Causeway Area Hospital,7.59,"3,132"
N21000376,Causeway_J,Causeway Area Hospital,12.3,"1,999"
N21000377,Causeway_K,Causeway Area Hospital,4.48,"2,985"
N21000378,Causeway_L,Causeway Area Hospital,15.9,"2,882"
N21000379,The_Glens_A,Causeway Area Hospital,29.06,"3,155"
N21000380,The_Glens_B,Causeway Area Hospital,41.28,"2,614"
N21000381,The_Glens_C,Causeway Area Hospital,35.31,"2,789"
N21000382,The_Glens_D,Causeway Area Hospital,22.27,"1,882"
N21000383,The_Glens_E,Causeway Area Hospital,42.57,"1,922"
N21000384,The_Glens_F,Causeway Area Hospital,24.71,"3,088"
N21000385,The_Glens_G,Antrim Area Hospital,42.95,"2,027"
N21000386,Ballymoney_A,Causeway Area Hospital,7.92,"2,591"
N21000387,Ballymoney_B,Causeway Area Hospital,11.51,"2,375"
N21000388,Ballymoney_C,Causeway Area Hospital,9.87,"2,209"
N21000389,Ballymoney_D,Causeway Area Hospital,10.73,"1,928"
N21000390,Ballymoney_E,Causeway Area Hospital,12.1,"2,188"
N21000391,Ballymoney_F,Causeway Area Hospital,11.38,"2,347"
N21000392,Ballymoney_G,Causeway Area Hospital,20.54,"1,725"
N21000393,Ballymoney_H,Causeway Area Hospital,22.86,"3,237"
N21000394,Ballymoney_J,Causeway Area Hospital,25.57,"1,236"
N21000395,Ballymoney_K,Causeway Area Hospital,19.91,"3,312"
N21000396,Ballymoney_L,Causeway Area Hospital,27,"1,370"
N21000397,The_Moor_A,Altnagelvin,5.45,"2,560"
N21000398,The_Moor_B,Altnagelvin,4.56,"2,920"
N21000399,The_Moor_C,Altnagelvin,3.53,"1,150"
N21000400,The_Moor_D,Altnagelvin,5.57,"2,922"
N21000401,The_Moor_E,Altnagelvin,5.46,"1,565"
N21000402,The_Moor_F,Altnagelvin,3.49,"2,228"
N21000403,The_Moor_G,Altnagelvin,2.88,"1,735"
N21000404,The_Moor_H,Altnagelvin,7.2,"2,047"
